# Title: Global Land and Ocean October Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1850,-0.32
1851,0.15
1852,0.09
1853,-0.09
1854,0.08
1855,0.03
1856,-0.38
1857,-0.17
1858,-0.11
1859,-0.11
1860,-0.25
1861,-0.26
1862,-0.34
1863,-0.26
1864,-0.28
1865,-0.06
1866,-0.18
1867,-0.11
1868,-0.06
1869,-0.2
1870,-0.28
1871,-0.28
1872,-0.21
1873,-0.12
1874,-0.18
1875,-0.22
1876,-0.1
1877,0.26
1878,-0.06
1879,-0.19
1880,-0.23
1881,-0.26
1882,-0.29
1883,-0.26
1884,-0.37
1885,-0.25
1886,-0.3
1887,-0.37
1888,0.13
1889,-0.18
1890,-0.24
1891,-0.19
1892,-0.28
1893,-0.27
1894,-0.31
1895,-0.18
1896,0.07
1897,-0.18
1898,-0.32
1899,-0.15
1900,0.05
1901,-0.27
1902,-0.25
1903,-0.49
1904,-0.37
1905,-0.31
1906,-0.13
1907,-0.22
1908,-0.47
1909,-0.31
1910,-0.41
1911,-0.24
1912,-0.57
1913,-0.32
1914,-0.06
1915,-0.19
1916,-0.31
1917,-0.44
1918,-0.11
1919,-0.25
1920,-0.21
1921,-0.03
1922,-0.29
1923,-0.18
1924,-0.31
1925,-0.11
1926,0.01
1927,0
1928,-0.18
1929,-0.16
1930,-0.07
1931,0.02
1932,-0.06
1933,-0.18
1934,-0.02
1935,-0.06
1936,0.01
1937,0.1
1938,0.1
1939,-0.02
1940,0.17
1941,0.32
1942,0.02
1943,0.24
1944,0.27
1945,0.13
1946,-0.06
1947,0.03
1948,-0.03
1949,-0.06
1950,-0.19
1951,0.13
1952,0.04
1953,0.1
1954,-0.02
1955,-0.06
1956,-0.24
1957,0.06
1958,0.03
1959,0
1960,0.05
1961,-0.01
1962,0.03
1963,0.13
1964,-0.27
1965,0.01
1966,-0.14
1967,0.12
1968,0.06
1969,0.14
1970,0.01
1971,-0.08
1972,0.12
1973,0.1
1974,-0.02
1975,-0.15
1976,-0.21
1977,0.07
1978,0.06
1979,0.28
1980,0.19
1981,0.25
1982,0.17
1983,0.22
1984,0.17
1985,0.13
1986,0.17
1987,0.33
1988,0.36
1989,0.32
1990,0.42
1991,0.33
1992,0.06
1993,0.26
1994,0.44
1995,0.44
1996,0.21
1997,0.64
1998,0.44
1999,0.34
2000,0.3
2001,0.5
2002,0.56
2003,0.74
2004,0.62
2005,0.73
2006,0.68
2007,0.6
2008,0.68
2009,0.69
2010,0.69
2011,0.66
2012,0.78
2013,0.68
2014,0.79
2015,1.07
2016,0.87
2017,0.92
2018,1.02
2019,1.02
2020,0.91
2021,0.99
2022,0.96
2023,1.37
2024,1.34
2025,1.23
